number,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
18,B07TMJ1R3X,"[20, 20]",1,Big disappointment. I wanted a larger screen to play my favorite smartphone games on and since I already had a Fire TV stick I went with a Fire tablet. Too bad the Amazon game store doesn't have the games I wanted to play. So I can't use this tablet for what I planned until I figure out a workaround to install the games I want. Should have gone with a cheaper off brand tablet.,"06 11, 2020",RPA2G1VD78PKY,Steve,If the apps you want aren't in the Amazon store you don't want this tablet.,1591804800
19,B07TMJ1R3X,"[8, 8]",1,"This is a ""Buyer Beware"" review. The Kindle Fire in itself is a great device. However, a recent software update has seriously diminished its abilities. Amazon advertises that you can expand the storage of this device with a micro SD card up to a terabyte of storage. Until recently, you could, but you cannot now.

I learned of this problem a few months ago. I have many Prime videos that I have purchased and have downloaded. For a long time, everything was fine. A few months ago, I started experiencing problems. Videos would only load to the internal memory, not the SD card. I went through 3 Kindle Fires, and 4 SD cards before I realized the problem. When you take this device out of the box, it works perfectly (it has an older software version). You can download videos to the SD card all you like. Then you wake up the next morning, when the software updates have loaded, and you have a problem. You have download errors and a memory overload.

When the software updates, it won't let you store videos on the SD card, only in the internal memory. I have a 256 GB micro SD card, one which is built for the Kindle Fire, that is currently worthless. The Kindle won't download to it,

I still like the Kindle, and I am invested in Prime Videos. I traded in my 32 GB Kindle for a 64 GB Kindle and reduced the quality of the videos I can download, so I can still have my videos when I travel, in the hope they fix this problem.

If or when they fix the download problem, this is a great device and would get five stars. Until then, it only gets one star. It does not allow you to download many videos.

I have brought this problem to Amazon management, and I hope they fix it. Until they do, it is not as advertised. Beware.","06 18, 2021",R20IIVIDO2EYTP,Fletch,This Device is Not Working Correctly,1623945600
20,B07TMJ1R3X,"[10, 10]",1,"Had an older 8 inch fire tablet was way better.
Dont know if its the newer software or what but this thing is so slow sometimes i wake it up and its just frozen for 20-30 seconds. The screen background is there but the program icons are gone and screen is not responsive. My older red 8 inch fire was at least enjoyable this one is just bad. Expected better the screen is not very good its not bad but its not good. The sound sucks i find myself turning it all the way up and then looking through whatever app im using to see if theres any volume controls cause i cant believe how low the volume is at max. Get th hd10 or a samsung and im not a fan of samsung","07 17, 2020",R2EIIJ6GT9QQ35,CW54,How is this an updated version everything seems worse,1594915200
21,B07TMJ1R3X,"[6, 6]",1,"UPDATE: After posting my original review regarding the charging issues my Fire tablet was having only six weeks after I purchased it, Amazon contacted me and tried to troubleshoot, and then ultimately found that my device was defective and sent me a replacement (I returned the original). Now, three months after receiving the replacement device, I am experiencing the SAME ISSUES even though I have barely used the device, and it has not been exposed to any liquids (it has mainly been in a desk drawer). I contacted customer service again, and the CSR kept trying to tell me I need to do a factory reset, even though I repeatedly told the person that I can't even turn on the device because it won't charge. The CSR then told me that it the warranty had expired (in three months) and that they could only offer me a 15% discount on a new device. REALLY??? I would never purchase this device or any other Amazon tablet again at this point. SO DISAPPOINTING!!!

ORIGINAL REVIEW: I wish I had done more research into this product before buying it. It’s definitely not worth purchasing, despite its low price compared to other tablets. I have only owned it for six weeks and have used it maybe 4-5 times. About a week ago, I started getting an error message every time I plugged it in to the charger indicating that it could not charge due to “liquid in the charging port.�?This device has never, ever been anywhere near liquid (intentionally), yet I followed all instructions for how to proceed. A week later and it still won’t charge, and a quick Google search led me to thousands of similar accounts from other users complaining about the same exact issue. Seems like a common technical glitch that has not been successfully resolved by Amazon. I plan to reach out to support, but I would rather return the tablet since it’s not exactly impressive to begin with in terms of screen resolution and battery life. Very disappointing.","12 04, 2020",R2D54G4CYXYGL9,janesays13,Charging problems AGAIN,1607011200
22,B07TMJ1R3X,"[7, 7]",1,"The media could not be loaded.
So I have used Amazon for years. I'm a huge reader and love my Tablets. This particular model has been ridiculously bad. It shuts off and won't turn back on unless it's connected to a power source. I contacted Amazon when it happened the 3rd time, they run me through some fixes and I gave it time. However, no success. At one point, my tablet would shut off 3 times a day. I listen to audio books when I drive and the last thing I need is to have to pull over to find my charger to turn my tablet back on. I will add that one of the questions I hear when I describe this scenario is ""Was the battery charged?"" Answer is yes. In any case, I have contacted Amazon multiple times about this issue. They've told me it's because the software needs to be updated. So after numerous calls, factory resets, updates, returns..I had a month with only 1 shutdown. This week, I have had 3 shutdowns so I reached out to Amazon and once again no real solution. I wouldn't recommend this device unless you are willing to deal with these glitches.","10 28, 2020",R3TWNKK8OJE36C,BookWorm,I wouldn't recommend this device. Frequent glitches,1603814400
23,B07TMJ1R3X,"[6, 6]",1,"This product is pure trash and one of the worst items I have ever purchased on Amazon. I wanted a tablet so I could play one game while being able to not use up my phone. Unfortunately this tablet is not even capable of that. Beyond being ridiculously slow, the wifi doesnt reach passed 50 feet. So unless you plan on sitting in the same room as your wifi router forever, this will become a paper weight somewhere. You could get use out of it if you predownloaded some books or movies to bring with you, but if you want to surf the web, use any social media platforms or play any games, forget about it. This is a piece of junk. I can use my phone to connect to my wifi all the way out by my pool but this doesnt get signal 50 feet away from the router. TRASH.","05 13, 2021",R14WJN08EB2KT9,C. Dasconio,PRETTY MUCH USELESS,1620835200
24,B07TMJ1R3X,"[8, 8]",2,"My last Kindle HD crapped out after 15 months. (OS error of some sort) Now my new one (2 weeks old) doesn't fully charge. Sound volume skips up and down making it choppy to listen to Pandora. I paid $85 for this. I hope that only charging to 98% doesn't mean there is a problem with this device too.

Update:
Within a week or two of me posting this low rating, Amazon Customer Service (CS) phoned me with questions about my concerns. She was very thorough and patient, talking me through totally re-booting and resetting the tablet. She also phoned back in a few days to see how things were going. A++ for customer service!

Unfortunately, two months later, it still randomly stops charging at 98 or 99%. Sometimes it does fully charge though. No rhyme or reason. Random pauses in volume (silence for a second every 2 to 3 minutes) in both Pandora and Audible disrupt the listening pleasure and Alexa doesn't work properly. Compared to my Echo Dot and my older (retired) Fire HDs, I'm very disappointed with this specific purchase.","07 06, 2020",R2FOGNB7PVF8X9,Kathi,not sure about this,1593964800
25,B07TMJ1R3X,"[8, 8]",1,"Bought this for my niece for her birthday and it immediately had the issue of only showing the home screen very briefly when turned on. If you could move quick enough to select an app the app would work fine once opened. Customer service was great and sent a new one, it was a bit inconvenient to return the defective one and because it was a gift I had to get the information on their amazon account because that’s where the tablet was linked to, but I was happy to get a replacement for her. I found out a few months later that the new one started the exact same problem after about 3 days. My sister didn’t tell me because she felt bad and didn’t want to bother me with it again. So this was essentially a waste of money and there must be more of an issue than just a random defective tablet since I had two with the same issue. I won’t buy another amazon tablet.","06 21, 2021",R165MLWPOS160G,Amazon Customer,Tablet is ok but glitchy,1624204800
26,B07TMJ1R3X,"[7, 7]",1,"What I really disliked about this Fire, my third, is that the screen locked on Alexa immediately after set-up and I couldn't go anywhere from there. I spent hours chatting with customer service and was told, "" ... devices are tested and fully certified. In some devices this type of issues occurs."". That is verbatim. The issue being that you can't actually use it, unless you want to be in an endless loop of ""Hello, Alexa is on your tablet ..."".

I am supposed to receive a replacement, probably not by the time I needed it, leaving home for awhile. Never mind Prime, this is potentially 10 days out. The question is, will I actually ever trust that one? The answer is, no, Once this replacement dies, I'll move on, even though I'll probably have to leave some favorite books behind.","09 16, 2020",R1COBFRNAMR9DI,A. Jones,Fire Quality Takes A Dive,1600185600
27,B07TMJ1R3X,"[8, 8]",1,"Save your money and put it into something else. Ordered two of these, one for myself and one for my mother. They arrived today and we tried to get them set up. They are supposed to be Alexa enabled (and are), but couldn't get the app to open for nothing. I tried factory resetting them, I tried turning them off and back on, I cleared the caches out, forced stop. NOTHING worked. I could not get the app open and was not able to set up the tablets to open Hulu or any of the other streaming service apps via voice control.

The screen quality is fair, I really can't speak to battery life because I haven't used it very long, and the touch screen worked well enough. Still, I think people could do better by spending a little more money and getting something other than a Kindle Fire tablet. They are more trouble than they're worth, imho. I had a Nexus 7 a while back (dropped it and shattered the screen) and I NEVER had a problem with the setup or apps opening or anything. Alexa seems to be super buggy. We've decided to return these pieces of junk and look into other options.","08 16, 2020",R3V2N70QT5APMG,Jennifer,Worst tablet on the market,1597507200
28,B07TMJ1R3X,"[8, 8]",2,"This review comes with a caveat which will be explained. I already had a Fire 8 which I purchased in 2017 that has served me well. But when I saw the new 8 Plus was coming out and the improvements they were making I decided to really splurge for a change. I order the 64 HD 8 Plus with ""no offers"" so the splurgy price was 154 dollars. I had a friend who ordered the lower priced 32 gig with offers at the same time. I began to wonder if there was a problem with the 64 gig because he's came almost as soon as they were available for shipping where I had to wait almost a month more for mine. When it finally arrived I powered it up with the option to restore all the apps that were backed up in the cloud from my previous Fire 8. During the restore process I received a pop up that the restore had failed. When the set up was finally completed....I could see that the apps that I wanted were all available for down load they were just not downloaded in the set up. So I clicked download all. When all the apps were in place I started opening some. I opened that Amazon App for youtube and the main page opened painfully slow and when I did select a video it would try to load and wouldn't play. I have excellent high speed internet so I knew that wasn't the problem. Every app I opened experienced slow loading. My email apps would time out and I would have to try again. I placed a call to Customer Service support. I was asked to restart the device which I did. After the restart I experienced the same problem. Almost without hesitation the technician said to send the device back and they would send another one. So I sent it back and about 5 days later I received another Fire 8 plus 64 gig. This time I called customer service before activating the device because I wanted to see if the restore would work while I had a tech on the phone. The device loaded properly and restored all the apps from the cloud. Again I went to open the apps starting with youtube and it was slow loading and the vids wouldn't play. The tech asked permission to do a shared session so she could trouble shoot the device. I told her I had to believe there was something wrong with the 64 Gig device. I was on the phone for over an hour with her and still the device did not function properly. So she said the only thing we can do is do a factory restore. Initially I was against this because I had already spent so much time on the phone to no avail. But I relented, so I hit factory reset and then with the tech on the other end of the line we started the whole set up over again including the downloading of the apps from the cloud. This took considerable time. So once again I started with the youtube app but this time the page loaded immediately and the videos played properly. With her on the phone I went through several other apps and these worked fast and the way they should. The tech had no explanation as to what might have been wrong or if the solution was a lasting one. Before we signed off, I mentioned that I had paid the highest price for this HD 8 Plus but that the replacement had come in a different box. So I asked if Amazon had sent me a refurbished HD8 or a brand new one. She told me it was refurbished. I said that I didn't think that was quite fair as I had paid for a new device not a refurbished one. She said they carried the same warranty. So now I have a refurbished expensive device that seems to be working the way it should have been from the start. I have a few more weeks to decide to keep it or return it. For now it works very very well. The streaming quality is good although the sound when turned up the highest without head phones could be louder. Pages load fast as I would expect with 3 gigs of ram. I have not yet added an SD card. And I'm still not crazy about getting a refurbished replacement but at least the warranty is the same. If it continues to work properly then I will probably keep it, but if you are ordering the 64 gig version I would be wary. My friend who has the 32 gig version never had a single problem. Good luck.","07 22, 2020",R2D1LONFY261PO,Eugene,Considerable problems with HD 8 64 Gig and Customer Service,1595347200
29,B07TMJ1R3X,"[6, 6]",5,"Bought the new Fire HD8 2020. on a lightning deal couple weeks ago. For the price, of $60 w/ being able to pay in 5 monthly installments of $12, it’s such a great simple deal! It took a bit though to arrive..like 10 days -WITH Prime membership. Anyway, been using for 2 days,& so far so good, i really like it. Simple to use, easy seamless connection wifi, to all my Prime stuff, shopping/music , Bluetooth
etc. Perfect for my purposes. I’ve a 3 year old iphone 8Plus, that is in great condition, though it’s starting to really lag, slow, & batt is going downward. So, i wanted the Fire tablet for Email/Social media/news, simple everyday stuff, that way, i’m able to stay off my phone, not wearing it down any further. i had the fire 7, two summers ago, & within a few months it was useless, hopefully they’ve improved the workings of these tablets.

So far It is nice and responsive, connected instantly to my wifi, i easily connected my air pods & sony earphones via Bt. It downloads apps fast. The picture is very quality 1080 HD. Don’t expect super duper 4K etc. But It’s fine for me. I tried Netflix, Prime Video, Disney+, & You tube, & so far, the video is smooth, seamless, no lag. The speakers are just ok, but i personally always use earbuds/headphones. hopefully this will last me at least a year..give or take 🙏🏽 I’m not sure i’d pay $80-$100+ for this, but $60?...is a GREAT deal. Highly recommend, especially on lightning deals in future, &/or if you’re looking for a “beat around�?or “kids�?tablet also, and/or a backup, for thise who don’t want to bring their expensive Ipads everywhere.
It comes w/ 5v usb plug, and a Usb - to - C cable.
i’m also waiting for a cover that i bought here on amazon for $9.99. You’ll find tons of diff ones from 10-30 dollars. Be safe, & Best Wishes! Chris from NY 😬","07 12, 2020",R2E5FU0CCHTI2F,Kringle1,FireHD8- 7-11-20,1594483200
30,B07TMJ1R3X,"[6, 6]",1,"I bought this as a reader for the Kindle app. But books now won't download. They do on my Apple XR iPhone. I went through 3 techs, factory resets, answering basic questions (is your WIFi on?). This tablet failed in just 2 months. I should have purchased a Nook. More money but now I know why. I just was on a call with the 4th Amazon rep. The could not guarantee that a replacement Fire 8 would not be a refurbished unit. Why? I've been chatting for 30 minutes now. No answers. That makes no sense. They are attempting to refund me my original payment. ""I am afraid the replaced devices are chosen automatically. We cannot manually choose if the device is new or refurbished."" Does that make sense? You purchase what you were told was a brand new tablet but a replacement could be a refurbished? I'm not even sure the reps I talked to were actually real people. Chat bots?

If you're thinking of purchasing one for Christmas, be careful. Right after your return date expires, it could fail. And even though you thought you were purchasing a new tablet, you most likely are getting something used and not reliable. That is what I'm led to believe here. Customer Service will be difficult to work with and will take hours. And not necessarily any resolution. Amazon is changing and it is not for the good. Very sad to see.

So they promised a refund in a gift card. My gift card balance is $0.00. And the chatter cut me off. I can't communicate any longer. unbelievable. Dishonest. Horrible customer experience. Who cares?","11 15, 2020",R92X4LY1FP0J9,Jim E Johnson,"Poor Technology, Not Worth It",1605369600
31,B07TMJ1R3X,"[14, 14]",1,This tablet is awful u can’t get any of the apps that are needed like my banking app and a bunch of apps that are on the fire stick are not available on this tablet waste of money,"06 16, 2020",RXW6DAOVWILWL,Twiztedpsycho10,Don’t buy not worth it!!!,1592236800
32,B07TMJ1R3X,"[5, 5]",1,"Very disappointed in this tablet! Old Kindle Fire tablet died. Amazon offered what appeared to be a “good deal�?on a replacement with a $10 trade-in on old one and a 20% discount toward purchase of a new one. Wish I hadn’t taken the “deal�? New one constantly and shamelessly “badgers�?you with ads, some of which are very difficult to close. Home screen is loaded with “favored�?apps which you cannot remove from that screen or uninstall. Even the pre-loaded apps are loaded with Amazon ads. I have never been a fan of Apple products, but several acquaintances have iPads, either of their own or employer-provided. I would consider one of those instead of this Amazon Kindle product. I can foresee that this will be my last renewal of Amazon Prime. If this is the way this company treats people who “pay�?to shop on their website, I’m not a fan!
UPDATE: 6/29/2021: I continue to be VERY DISAPPOINTED with the (lack of?) performance with this device! Won't sync to current page read with other devices, but cell phone syncs with it quite nicely, suggesting that the problem is with the Kindle. Book that I would like to store in Library for future reading will not stay off Home, and book that is in Library I am currently reading cannot be moved to Home. Spent 1/2 hour on telephone with Tech. Support agent who remoted into device, but who also could not repair any of the above. Promised to call back at a certain time after he had investigated problems, but never did. Poorly designed software with no technical support!","05 17, 2021",R3U4G33FWWYWWC,Amazon Customer,Wish I hadn't purchased!,1621180800
33,B07TMJ1R3X,"[8, 8]",1,"While I walked into knowing it was likely horrible, the overwhelming amount of control Amazon has placed on restricting you to a garbage fire operating system is amazing. Unable to do anything in regards to installing what I want on an android device short of immediately hacking and placing a new os on a brand new released device is embarrassing and appalling. Run away from this slow, low quality spammy advertising and Amazon shilling bloat ware and attempt to use a similarly slow and likely as poor unnamed Chinese tablet you can also find on this website and you may have a much better time installing Google services and popular launchers to make up for that manufacturers shortcomings unlike how you can't with Amazon's.","07 26, 2020",R110YOHD4PL32G,Michael kinsey,Amz propaganda,1595692800
34,B07TMJ1R3X,"[5, 5]",1,"I bought this about 10 days ago. I got it specifically to listen to my books with the text to speech option. I use it while out milking cows, working in the garden, and inside chores. All was well until the Fire just turned itself off. The only way it will turn back on is if I plug the power cord in. Then it immediately starts back up. The Fire is still completely charged. The book I was listening to went back either to the beginning or about 45 pages back. Whichever comes first. So, I set up to return the Fire and ordered a new one. Just got the new one last night, and this morning the new one has exactly the same problem. So now I need to decide if I try a different model or carry around a battery pack. Out to the milking parlor or the garden or camping or whatever. I'm so disappointed.","05 12, 2021",R10H36M0CTUF2V,Kindle Customer,Two Fires in two weeks with the same error.,1620748800
35,B07TMJ1R3X,"[3, 3]",1,"I have owned several Kindle tablets starting with the original. The last Fire I bought was the Kindle Fire HDX 7. I have loved it for years! Why Amazon stopped making it is beyond reason!
But as it’s aged, apps stop working and being updated. The battery doesn’t last a full night of reading. So I thought I’d try the new Kindle Fire 8.
It’s lightweight but feels cheap. Because it is cheap! Fine for a beginner or a child. But a serious reader…never!
In the posted pictures my HDX is on the left. The new Fire 8 on the right. The words on the 8 are blurred in comparison to the HDX. The pictures are not crisp. And the color is greenish.
For any kind of real reading or older eyes this tablet is garbage!
I’m returning it and have no choice but to buy an expensive tablet and just use the Kindle app.
Very sad that Amazon is making the choice not to update their good tablet, the HDX, in favor of a mass market piece of junk!
There are those of us who would like a real reading tablet of quality!","08 02, 2021",R1CJL87HKJUL79,Cc Cc,Very disappointed!,1627833600
36,B07TMJ1R3X,"[7, 7]",1,"I bought 2 tablets to give as a gift and I think the product is great, the problem I have is with the customer service, first for some reason my card was declined twice ( I already had made purchases with my card so don’t know what happen) I contacted amazon and I was advised that my order was processed and I just needed to wait 24 hours and that there was no problem�?then after that time the order was still declined, I had to change twice my payment method for the order to go through but finally solve the issue myself and got my order placed just to see that a couple of days after the price to drop $25 so I lost 50$!!! discount and I asked if I could get the new price but they told me to just cancel it and buy it with the new price but if I did that I wouldn’t get the tablets on time to give it as a gift and could get the same trouble with my payment again �?and then I made the mistake of buying a Kindle Paperwhite and echo buds in installments, I knew that I didn’t have the full balance to pay them at once with my card so Installments were just at the way to go for me but for some reason, I got 8 authorizations so my card each time creating a debit on my card so it got overdrawn meaning that I got charges from my bank they fail me to advise me to change payment method as the card was getting authorizations as the card was overdrawn for that and again customer service didn’t know nor could do anything they work more as a therapist for customers to go a vent their frustrations because can't to do anything else.","12 16, 2020",R2E2XW5NH96OLM,Gab,Don’t Buy Amazon-branded items!,1608048000
37,B07TMJ1R3X,"[5, 5]",1,"4th update 9/27. Piece of junk did it again.

3rd update 9/24. Happened again. None of my videos that I downloaded after the last time on my SD card can be watched. I’ll have to download 883 videos YET AGAIN. Apple products are ridiculously overpriced but at least they work consistently. This is ridiculous.

Update: i’ve had this for about three months now and I’ve had nothing but problems. It still shuts down randomly and I have to plug it in to get it to turn on. I bought this as well as an SD card so that I could download everything I’ve purchased through Amazon and watch it when I’m not connected to Wi-Fi. It took forever to download all of the videos I have purchased, all 883 videos. Today’s the third time I’ve tried to access those videos and have gotten an error message that the online license is missing. I’ve called tech-support twice and they have no idea what the problem is I’m just told to reset to factory settings. Obviously I don’t want to do this every month because it takes another week to download all the videos again. If I had to do it all over again I would not purchase this piece of crap.

Original review: I only use this to watch things I’ve downloaded but if I had to use it for anything else it would be awful. This thing just shuts off randomly and the only way to turn it back on is to plug it in which would be very inconvenient if it didn’t live on my nightstand near a plug.","08 03, 2020",R269YPV07KIS44,Kindle,Won’t work.,1596384000
38,B07TMJ1R3X,"[5, 5]",4,"Really, if I compare this 2020 version with the 3rd generation 7 ’Tablet that I had before, this is my obesrvation:

Pros:
One more inch (8 ’�?
New version of FIRE OS
Dolby Atmos
Connecting with Chrome and media similar devices to send data to TV
Flash memory expansion slot

Cons:
The volume up, volume down and power on / off buttons are designed in such a way that holding the Tablet vertically accidentally is pressed, turning the Tablet, the hand covers the camera and light sensor. In the 3rd generation version the button was hidden, making it impossible to accidentally press it.
The light sensor that manages the brightness of the screen, when you see an image/video, the sensor detects it and lowers the brightness a lot. Something that did not happen with the previous generation either. I had to disable the brightness sensor as it went up and down very often and bothered to read or see something.
Regarding the protector, the origami design that it had before, in addition to folding much more, the Tablet was placed perfectly by the magnet it had. This new design only folds once, and has no magnet, the tablet must be forced to wedged into it.
The memory expansion is blocked when placing the protector, it is not very comfortable.

I’ve waiting for so many years to change it, and really Im not totally satisfied with this new design. I love Kindle Fire, and will continue use it, but�?I dont really know if I can recommended truly this 2020 version.","07 22, 2020",R2HCP6OCI9GHWJ,Pablo,not totally satisfied,1595347200
39,B07TMJ1R3X,"[4, 4]",1,"Update: I've had this replacement for six months. Again, worked well until it didn't. Now it won't update the system and won't download any content. I bought it to read books. Same issue as before - it doesn't work. I am not going to spend hours and hours on the phone with people who don't know what to do and have you repeatedly reboot and reset to factory. Do yourself a favor and look elsewhere. There are many, many reviews that basically say the same. Six months old and it's useless. This is NOT WORTH BUYING.

I had trouble from the beginning - as soon as i started it up, it locked up. I did a factory reset and it worked well for a while. Occasionally the tablet wouldn't turn on, even thought fully charged. I chalked it up to an electronic glitch. Over time it got worse and I would have to plug it in to get it to start up. Now just over three months, a brand new tablet doesn't work. I can't turn it on without plugging it in and then unplugging it. The chat help feature was a joke. I spent hours rebooting, updating software, factory resetting. It's a joke - they keep you busy trying all kinds of trouble shooting time wasters, when the tablet isn't going to work regardless of all the time consuming nonsense. They will do nothing for me and don't stand behind their product once you are a day over 90 days. I now own an electronic piece of junk that is useless.","01 15, 2021",R39J53JOQQKWNX,pmisun,"Replacement is garbage, just like the first one. Six months and can't use it.",1610640000
40,B07TMJ1R3X,"[13, 13]",1,"Frustrated with this product. Cannot seem to download books. After discussion with customer service thought it was fixed. It is not. Plus new cord change with new version. Original cords will not work. More ways
For amazon to make a bit more
Money.","07 10, 2020",R2J6EHHU50JKF6,Jay Gab,Issues with new Kindle Fire.,1594310400
41,B07TMJ1R3X,"[4, 4]",1,"We have 3 of these
All of them are now unusable to a critically low storage error message despite SD card being set up as internal storage
I suspect that this new error is related to a change in the OS to allow SD card to be internal storage - before that the OS didn’t have this option
There is no solution that you can find on the internet to fix this problem
Except restore to factory settings which means we will be back to square one within 2-4 weeks of usage
Bottom line stay away from these fire tablets till Amazon has a fix - you can’t even update a single app or download content such as a movie in SD card - which has over 100GB of availability...😬😬😬","03 26, 2021",R3EWDOFM0924W5,Pascal,Bad storage management - becomes unusable within weeks,1616688000
42,B07TMJ1R3X,"[3, 3]",1,"I bought this for the sole purpose of using Gameglass. I did not want ads, I did not want it to be affiliated with my Amazon account or services in any way. To the first I did not notice there was an option to go without ads when I bought it; honestly if I had seen that I would have gone to a pawn shop instead because it would have told me that this was, as the title states, hardware as a service. To the second it's possible, but you have to jump through hoops to get it to accept that you're not going to give it your Amazon credentials. As previously mentioned by other reviewers this thing is more locked down than an Apple product, so much so that you can't even remove useless icons from your homescreen; I sincerely regret not having dug through the reviews like I usually try to remember to do. I've considered rooting, but apparently this particular model has been purposefully redesigned to make the methods which were well established to be safe on previous models completely obsolete, so I can't even do that!

Immediate return!

Hardware is okay, but not worth the cost of having yet another ad pump in my life.","11 29, 2021",R1PJOPR2UDTFXP,Josh,Hardware as a Service; Disgusting!,1638115200
43,B07TMJ1R3X,"[7, 7]",3,"I was excited to upgrade to a new Kindle after six years with my old one�?Unfortunately my excitement was short-lived�?I’m finding that is not all that much more intuitive or responsive and other than the extra storage, it’s kind of disappointing. I especially wanted to use it for watching Amazon prime videos and listening to Amazon prime music, but the volume is really very low even cranked up to its highest level, and I am not hard of hearing. I’m hoping that I will be able to pair it with my Bluetooth earbuds but so far have not figured that out yet. Hopefully I will be able to get much better volume that way. Overall I know it’s a good value for the money compared to other tablets, but I was hoping for more.","08 14, 2020",R2EJUV7ED25RAU,J. Garro,Not much of anything new...Volume is way too low,1597334400
44,B07TMJ1R3X,"[9, 9]",1,"I can't write a true review at this time. I have a call into the Amazon Kindle help because I haven't been able to download any of my books. It has been almost three days and I haven't heard back from them yet. The representative I spoke with tried a couple of fixes, but couldn't pinpoint what might be causing the problem. She was going to consult with her supervisor and see what things might be the problem. Waiting is. So I haven't been able to fully enjoy this KIndle Fire. Once I get it working properly or they replace this one, I will have a better idea.","07 13, 2020",RG6QZQQ0N0UY3,blewis,Waiting to find out,1594569600
45,B07TMJ1R3X,"[2, 2]",3,"I bought this tablet for my kids when it was on sale during Prime Day in hopes they would have an extra screen to use for Minecraft and Roblox.

Set up: This was really easy and I selected the option of tieing it to my account when I was purchasing it so when it powered on and started the set up process it already had my saved wifi password on it. It pulled info I had saved on NY account like my kids profiles and it set up profiles for the 3 of them.

Installing Apps: The Amazon Appstore isn't the greatest and feels, looks, and performs ""old"". The app selection is terrible and there seems to be a lot of abandoned apps. The process for installing an app is slow and is slow on all my devices (I'm on a 500mb down internet connection, and use the appstore on recent, high end devices).

Performance: This tablet runs like you would expect a $45 tablet should. I primarily bought it for 2 tasks, to play Roblox and Minecraft and it does one well. Roblox plays as it should and isn't bad but when it comes to Minecraft it is a laggy experience. Some other games seem to play well (Toca Food 1 and 2).

User Interface: I have mixed feelings about the user interface. On one hand it looks fairly nice and modern but on the other hand it also looks old and dated. I say this because the color palette is nice but the large text for the ""tabs"" remind me very much of the old metro style from the Microsoft Zune. Coming from a normal Android device, the way some of the UI works is different from just about everything (like getting into the options/settings on my kids profile) and watching my kids trying to use it for the first time (they have experience with Android, Chrome OS, and iOS) they struggled to do things they wanted to do like change their profile icon (the parent has to do it).

Cutting This Short: It's a $45 tablet and it performs like one, it doesn't play Minecraft well at all but plays Roblox well.","06 26, 2021",R5KKTVZYHNM9Y,Amazon Customer,A step up from a cheap Walmart tablet,1624636800
46,B07TMJ1R3X,"[2, 2]",5,"This is my second Fire Tablet 8, as I lost my first one. It is a significant improvement. It is much faster, has more memory, and the camera is vastly better. It charges much faster via USB C, and it seems to last longer on a charge. The Show function is really nice. The speakers sound better on this version. It stays connected to WIFI without any issues.
When buying a Fire Tablet, there are a few things to keep in mind:
-it is NOT an IPad or a droid. It only runs apps that are available from the Amazon App store, which can be limited. No maps, Google docs, etc.
- it is mainly a media content device. Games can run slowly. But it handles most streaming channels, zoom works well, it makes a great Kindle reader, and it handles most social media apps.
- it does NOT have GPS. The WIFI location function is pretty useless.
- it has full Alexa capability. If you want an Echo Show, but don't want to dish out a bunch of money, this tablet is a very reasonable substitute. Except for the sound quality, of course, although you can connect it to a Bluetooth speaker for better sound.
- it is extremely I expensive for a tablet, but wait for a sale, because then it is about half price
To sum it all up, the current Fire 8 tablet is a great tablet at an amazingly low price, as long as you understand its limitations. If you are expecting an IPad or Android tablet clone, you will be disappointed.","06 23, 2021",R1MVRK794OIMKX,Seaotter,Great cheap tablet,1624377600
47,B07TMJ1R3X,"[5, 5]",5,"This is my first ever Kindle device. For reading ebooks I've always used the Kindle app on my phone. I don't have a lot of experience with tablets, but I will share my thoughts on the Kindle Fire HD8. I was eagerly looking forward to reading ebooks on this tablet. I didn't expect to enjoy watching videos on it so much. Prime, Netflix, etc. The picture is really vibrant. I can also play games, listen to Amazon Music, and search the internet with the Silk browser. There are a lot of different apps available, including Zoom. (I haven't tried a Zoom meeting on the Fire yet) Of course I can shop on Amazon and check on my orders. The size is just perfect. The screen is large enough for anything I would do on it, yet the whole thing is small enough to slip into my purse and take with me on the go. This would be awesome for commuting or travel. I can't wait to take it on the road. I like that the screen ""wakes up"" automatically when I open the cover of the case I purchased for it. I added an SD card that doubles its storage space and allows me access to the downloaded items when I'm not on wifi. This is a big plus. Not that I have come close to using all the storage space yet. I've connected bluetooth headphones to it just fine.

There are some limitations with the Kindle. I've discovered that I can't download the Gmail app, but I can access my gmail account through the Silk browser. There is a Kindle email app available, but I'm not using it. There are some other apps that aren't available in the Kindle app store. For most of those apps that I want, I have been able to download them from outside sources, once I change my Kindle settings to allow for it. Each time I think I've found something that won't work on this tablet, I figure out a way to make it work.

I can see how a more expensive tablet might give you more options (iPad). But if you are using the tablet mostly for ebooks and videos, this is a great choice. It is a LOT more than an reader. I think I will be able to accomplish everything I want to with this Fire tablet, and the price point is pretty good. I researched several different tablets to make my decision. I'm very happy with this one.","08 10, 2020",R1NLRL4B2BZK1U,Deedee Megadoodoo,Enjoying this tablet SO much,1596988800
